role,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Cloud Engineer,What does AWS stand for?,Azure Web Services,Amazon Web Services,Advanced Web Solutions,Automated Web Systems,B,AWS stands for Amazon Web Services - the leading cloud platform.
Cloud Engineer,Which tool is used for container orchestration?,Docker Compose,Kubernetes,Ansible,Terraform,B,Kubernetes is the industry standard for container orchestration.
Cloud Engineer,What is the purpose of Docker?,Database management,Version control,Containerization of applications,Network monitoring,C,Docker is used to containerize applications for consistent deployment.
Cloud Engineer,What does IaC stand for?,Internet as a Code,Infrastructure as a Code,Integration as a Concept,Interface as a Component,B,IaC means Infrastructure as Code - managing infrastructure through code.
Cloud Engineer,Which AWS service is used for serverless computing?,EC2,S3,Lambda,RDS,C,AWS Lambda is the serverless computing service by Amazon.
Cloud Engineer,What is the purpose of a VPC in AWS?,Virtual Private Cloud for network isolation,Video Processing Center,Virtual Processing Core,Verified Public Connection,A,VPC (Virtual Private Cloud) provides network isolation in AWS.
Cloud Engineer,Which tool is used for Infrastructure as Code?,Jenkins,Terraform,Docker,Nagios,B,Terraform is the most popular Infrastructure as Code tool.
Cloud Engineer,What does CI/CD stand for?,Continuous Integration/Continuous Deployment,Code Integration/Code Deployment,Continuous Improvement/Continuous Development,Code Inspection/Code Delivery,A,CI/CD stands for Continuous Integration and Continuous Deployment.
Cloud Engineer,Which Linux command lists all running processes?,ls,pwd,ps aux,chmod,C,ps aux lists all running processes on a Linux system.
Cloud Engineer,What is the purpose of load balancing?,To increase storage,To distribute traffic across servers,To manage databases,To encrypt data,B,Load balancing distributes incoming traffic across multiple servers.
Backend Developer,What does REST stand for?,Representational State Transfer,Remote Execution Service Transfer,Real-time Event Streaming Technology,Robust Endpoint Security Transfer,A,REST stands for Representational State Transfer - an architectural style for APIs.
Backend Developer,Which HTTP method is used to update a resource?,GET,POST,PUT,DELETE,C,PUT is used to update an existing resource in REST APIs.
Backend Developer,What is the purpose of an API?,To style web pages,To manage databases directly,To allow communication between software systems,To handle user authentication only,C,APIs allow different software systems to communicate with each other.
Backend Developer,What does SQL stand for?,Structured Query Language,Simple Query Logic,Standard Question Language,System Query Layer,A,SQL stands for Structured Query Language used for database management.
Backend Developer,Which of these is a NoSQL database?,MySQL,PostgreSQL,MongoDB,SQLite,C,MongoDB is a popular NoSQL document database.
